day_A;day_B;pseudo_F;p_value;n;stratified_by_year;p_holm;p_fdr_bh
friday;monday;11,373125128993218;0,001;678;True;0,021;0,001105263157894737
friday;saturday;29,844424096791794;0,001;678;True;0,021;0,001105263157894737
friday;sunday;52,804262428734674;0,001;678;True;0,021;0,001105263157894737
friday;thursday;3,1224842695047905;0,001;678;True;0,021;0,001105263157894737
friday;tuesday;10,676438110994482;0,001;678;True;0,021;0,001105263157894737
friday;wednesday;6,394560210522153;0,001;677;True;0,021;0,001105263157894737
monday;saturday;55,21566071686921;0,001;678;True;0,021;0,001105263157894737
monday;sunday;71,98376891849118;0,001;678;True;0,021;0,001105263157894737
monday;thursday;6,166299207171;0,001;678;True;0,021;0,001105263157894737
monday;tuesday;2,076227855083398;0,001;678;True;0,021;0,001105263157894737
monday;wednesday;3,1682844203291327;0,001;677;True;0,021;0,001105263157894737
saturday;sunday;11,982479887881945;0,001;678;True;0,021;0,001105263157894737
saturday;thursday;47,16010489716901;0,001;678;True;0,021;0,001105263157894737
saturday;tuesday;63,84065036364572;0,001;678;True;0,021;0,001105263157894737
saturday;wednesday;54,09985250249898;0,001;677;True;0,021;0,001105263157894737
sunday;thursday;72,04013168359215;0,001;678;True;0,021;0,001105263157894737
sunday;tuesday;87,02836475006865;0,001;678;True;0,021;0,001105263157894737
sunday;wednesday;76,06417615154938;0,001;677;True;0,021;0,001105263157894737
thursday;tuesday;4,0532821698336505;0,001;678;True;0,021;0,001105263157894737
thursday;wednesday;1,678030688283645;0,003;677;True;0,021;0,00315
tuesday;wednesday;1,415931063688998;0,025;677;True;0,025;0,025
